x, y,th,stamp
-1.906172872,3.836399078,-1.651556245,1.75952E+18
-1.903556585,3.836587667,-1.679675815,1.75952E+18
-1.902440429,3.83685565,-1.707927227,1.75952E+18
-1.902513027,3.83650279,-1.731891378,1.75952E+18
-1.902204037,3.835899591,-1.759379567,1.75952E+18
-1.904883385,3.838623047,-1.785781365,1.75952E+18
-1.9054178,3.83812499,-1.780379758,1.75952E+18
-1.905395389,3.837672472,-1.775264242,1.75952E+18
-1.904351234,3.838128567,-1.774260001,1.75952E+18
-1.90491724,3.83820796,-1.776400784,1.75952E+18
-1.905386567,3.837962866,-1.776400784,1.75952E+18
-1.905353427,3.83804059,-1.776400784,1.75952E+18
-1.905191541,3.838037252,-1.777559255,1.75952E+18
-1.907053828,3.837688208,-1.777515405,1.75952E+18
-1.911364555,3.836771488,-1.781366104,1.75952E+18
-1.917728543,3.835345984,-1.78719686,1.75952E+18
-1.926056862,3.833652735,-1.793339255,1.75952E+18
-1.93540132,3.831285954,-1.802893638,1.75952E+18
-1.951108694,3.827194929,-1.819789851,1.75952E+18
-1.960302472,3.824950218,-1.828164108,1.75952E+18
-1.98033905,3.818886042,-1.848456677,1.75952E+18
-1.998017192,3.813663721,-1.86639308,1.75952E+18
-2.015886545,3.807640553,-1.883203231,1.75952E+18
-2.034099102,3.801391125,-1.898432497,1.75952E+18
-2.052184105,3.794927835,-1.915289433,1.75952E+18
-2.069739819,3.788213253,-1.934501434,1.75952E+18
-2.0929842,3.778693438,-1.960674792,1.75952E+18
-2.10518837,3.773549557,-1.972959701,1.75952E+18
-2.122914553,3.765816212,-1.989298294,1.75952E+18
-2.146734238,3.754806995,-2.013610287,1.75952E+18
-2.1635952,3.74648118,-2.033383874,1.75952E+18
-2.180744648,3.737603903,-2.054593385,1.75952E+18
-2.197391987,3.728545666,-2.073904298,1.75952E+18
-2.214344263,3.718725681,-2.094375843,1.75952E+18
-2.236172915,3.705550432,-2.119206153,1.75952E+18
-2.252467632,3.695235014,-2.138744634,1.75952E+18
-2.263243675,3.68814826,-2.151355355,1.75952E+18
-2.284751892,3.673457384,-2.177804945,1.75952E+18
-2.300030947,3.662549257,-2.196508968,1.75952E+18
-2.315452337,3.650959253,-2.215643602,1.75952E+18
-2.33061409,3.639297485,-2.234698248,1.75952E+18
-2.345785141,3.62695694,-2.25440992,1.75952E+18
-2.360909224,3.61417985,-2.274201314,1.75952E+18
-2.375110865,3.601634979,-2.292900908,1.75952E+18
-2.389389038,3.588617325,-2.312165945,1.75952E+18
-2.407765627,3.570741415,-2.337040453,1.75952E+18
-2.420990944,3.557815313,-2.356023887,1.75952E+18
-2.434505939,3.543686628,-2.375810521,1.75952E+18
-2.447240591,3.530091047,-2.395005466,1.75952E+18
-2.460156202,3.515505314,-2.414319249,1.75952E+18
-2.472941875,3.500701189,-2.433864907,1.75952E+18
-2.484896421,3.486074924,-2.451993993,1.75952E+18
-2.496807575,3.470921278,-2.471296739,1.75952E+18
-2.512247562,3.45045948,-2.49718862,1.75952E+18
-2.523587227,3.43482995,-2.51642608,1.75952E+18
-2.534534693,3.418682575,-2.534312262,1.75952E+18
-2.545036077,3.403146029,-2.553240348,1.75952E+18
-2.555340528,3.38709116,-2.571496351,1.75952E+18
-2.568915844,3.364753485,-2.599396292,1.75952E+18
-2.575401545,3.353634596,-2.612065155,1.75952E+18
-2.587761164,3.331340313,-2.637317479,1.75952E+18
-2.596636057,3.314637899,-2.655857601,1.75952E+18
-2.605166435,3.297558069,-2.675782517,1.75952E+18
-2.613625765,3.280017138,-2.69500839,1.75952E+18
-2.621573687,3.26251173,-2.713614092,1.75952E+18
-2.629317284,3.244666815,-2.732233198,1.75952E+18
-2.636712313,3.226970911,-2.750634573,1.75952E+18
-2.643662214,3.209133387,-2.76909765,1.75952E+18
-2.650218964,3.191273451,-2.788830234,1.75952E+18
-2.65863204,3.166934252,-2.816250766,1.75952E+18
-2.664353371,3.148708105,-2.835496163,1.75952E+18
-2.669950008,3.130242586,-2.853884189,1.75952E+18
-2.674993277,3.111866713,-2.872125931,1.75952E+18
-2.679632902,3.093346596,-2.890910406,1.75952E+18
-2.685276985,3.068597794,-2.91712033,1.75952E+18
-2.687959194,3.055938959,-2.930819766,1.75952E+18
-2.692669392,3.030931234,-2.956394588,1.75952E+18
-2.695984125,3.012055635,-2.974284221,1.75952E+18
