x, y,th,
0.481515646,3.338465691,-0.997986576,1.75952E+18
0.481515646,3.338465691,-0.99798646,1.75952E+18
0.481515646,3.338465691,-0.99798646,1.75952E+18
0.481515646,3.338465691,-0.99798646,1.75952E+18
0.481515646,3.338465691,-0.99798646,1.75952E+18
0.481515646,3.338465691,-0.99798646,1.75952E+18
0.480806023,3.339155674,-1.004165732,1.75952E+18
0.477380455,3.341096401,-1.017046624,1.75952E+18
0.47269091,3.344223022,-1.033295307,1.75952E+18
0.466474086,3.347660542,-1.053745027,1.75952E+18
0.458915174,3.351915598,-1.081411502,1.75952E+18
0.451595485,3.355956554,-1.106038924,1.75952E+18
0.441190332,3.360809088,-1.140623922,1.75952E+18
0.429353267,3.366290808,-1.18046338,1.75952E+18
0.412814438,3.37295866,-1.238178728,1.75952E+18
0.396857768,3.37845993,-1.284157652,1.75952E+18
0.3805646,3.383234501,-1.33266752,1.75952E+18
0.364282131,3.387217522,-1.382332709,1.75952E+18
0.347531021,3.390400887,-1.433636112,1.75952E+18
0.333994567,3.392170429,-1.473112022,1.75952E+18
0.317442149,3.393760204,-1.523090285,1.75952E+18
0.300437421,3.394631147,-1.572468507,1.75952E+18
0.280252635,3.394498587,-1.632293449,1.75952E+18
0.263708144,3.393292665,-1.680215119,1.75952E+18
0.246931762,3.391493797,-1.72919132,1.75952E+18
0.230119124,3.388789415,-1.778436642,1.75952E+18
0.213489234,3.385367393,-1.827942863,1.75952E+18
0.200393736,3.381942034,-1.866589828,1.75952E+18
0.184222355,3.377039194,-1.914131424,1.75952E+18
0.161714941,3.368699551,-1.981809094,1.75952E+18
0.149484247,3.363288641,-2.018941615,1.75952E+18
0.134531751,3.356009483,-2.06593422,1.75952E+18
0.119670026,3.347817421,-2.112899367,1.75952E+18
0.105321139,3.339151621,-2.160758348,1.75952E+18
0.091085739,3.329737902,-2.210919753,1.75952E+18
0.080166526,3.321745157,-2.249604627,1.75952E+18
0.062079679,3.306618214,-2.316029548,1.75952E+18
0.054417375,3.299627542,-2.34539114,1.75952E+18
0.039874289,3.285436392,-2.402493364,1.75952E+18
0.028652735,3.273054838,-2.448559662,1.75952E+18
0.017834526,3.259811401,-2.496019399,1.75952E+18
0.007632758,3.246361971,-2.543269096,1.75952E+18
-0.002093848,3.232030153,-2.590966208,1.75952E+18
-0.009089189,3.220677614,-2.628065914,1.75952E+18
-0.017611368,3.20589304,-2.674963515,1.75952E+18
-0.028121613,3.184375763,-2.741466349,1.75952E+18
-0.033587322,3.171710968,-2.780008071,1.75952E+18
-0.039528001,3.155606031,-2.826382225,1.75952E+18
-0.044869941,3.139093637,-2.87286459,1.75952E+18
-0.049267743,3.122872114,-2.91728741,1.75952E+18
-0.053104859,3.106064081,-2.965510577,1.75952E+18
-0.055655375,3.092477083,-3.003336151,1.75952E+18
-0.058457341,3.068925619,-3.067310466,1.75952E+18
-0.05973693,3.051662445,-3.114084082,1.75952E+18
-0.060129195,3.038072586,3.132393256,1.75952E+18
-0.059815641,3.020698309,3.086317401,1.75952E+18
-0.058720455,3.003660679,3.040172531,1.75952E+18
-0.056848209,2.986559868,2.994501125,1.75952E+18
-0.054277129,2.969425201,2.946715369,1.75952E+18
-0.051832959,2.956153393,2.909770159,1.75952E+18
-0.047618359,2.939479589,2.867140455,1.75952E+18
-0.040828791,2.916277885,2.802057715,1.75952E+18
-0.036390606,2.903204918,2.764029151,1.75952E+18
-0.029923098,2.887310266,2.719817172,1.75952E+18
-0.022818528,2.871814489,2.675528369,1.75952E+18
-0.015066134,2.856669426,2.629898193,1.75952E+18
-0.006420258,2.841290951,2.584195741,1.75952E+18
0.000865646,2.829384804,2.546961965,1.75952E+18
0.010752769,2.815437555,2.503003931,1.75952E+18
0.021092493,2.80142355,2.45662684,1.75952E+18
0.034517892,2.78520155,2.402463686,1.75952E+18
0.046111032,2.772831917,2.358255971,1.75952E+18
0.058389463,2.760391474,2.311492993,1.75952E+18
0.07140208,2.748924732,2.267749854,1.75952E+18
0.084562734,2.737671375,2.221809321,1.75952E+18
0.095678255,2.729280949,2.186049822,1.75952E+18
0.115716405,2.715716124,2.12284043,1.75952E+18
0.123419084,2.710954666,2.099810994,1.75952E+18
0.143721431,2.699361563,2.038193496,1.75952E+18
0.158420041,2.691982269,1.997164324,1.75952E+18
0.174101844,2.684926033,1.953606847,1.75952E+18
0.190262303,2.678525448,1.910453826,1.75952E+18
0.206814617,2.672668695,1.865792275,1.75952E+18
0.220028877,2.668664694,1.830394057,1.75952E+18
0.236995205,2.664243698,1.786788001,1.75952E+18
0.25426662,2.660644531,1.742904915,1.75952E+18
0.274871618,2.657317638,1.69043736,1.75952E+18
0.292190313,2.655339718,1.647086609,1.75952E+18
0.310055494,2.654310465,1.605504366,1.75952E+18
0.327436656,2.653704405,1.559975279,1.75952E+18
0.3448973,2.653958082,1.515114357,1.75952E+18
